name,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,treatment_1,treatment_2,treatment_3,treatment_4,treatment_5,treatment_6,treatment_7,treatment_8,ClusterID,ID,treatment_vs_control_CI.L,treatment_vs_control_CI.R,treatment_vs_control_diff,treatment_vs_control_p.adj,treatment_vs_control_p.val,significant,treatment_vs_control_significant,cluster_representative
0,19.32634609295,20.5626337272262,21.525915987433702,20.8342156386031,20.5206819781492,22.032817915843896,22.4797849504283,22.705143625041398,20.264387618422802,26.071897335085,26.589133365519398,24.7143876043731,25.435448866391603,25.3120416521318,25.336403348438502,25.2158190579423,25.5377267018844,0,0,3.33125686947987,5.44375149477312,4.3875041821265,5.91033221451461e-05,1.30087902198449e-08,True,True,sp|Q6PZE0|MUC19_MOUSE
1001,24.5553899073916,25.174433259155997,23.536147119934398,21.8582523463694,22.8141629085667,23.725963431961198,22.8070616372601,22.5820227318359,22.538410858882397,22.535714635948,23.406334259609103,22.7200396343758,26.0666174449723,24.245150019126,24.3236632502745,24.772497066552802,24.026280953976496,1001,1001,-0.4478301857470779,1.8959391238764098,0.724054469064665,0.948139158453225,0.21386054009456198,False,False,SRS022609.33556-T1-C
1002,19.1915629012954,24.3616890203693,20.5245857120339,21.2113678885038,21.5799295454834,22.2849644169063,20.9247378541266,24.7706825421342,22.369292482295698,25.2400778365363,27.677448153138197,28.022593621805896,17.6552721574971,17.7333463957693,19.3084701346407,15.0486145856766,26.2965288488584,1002,1002,-2.9706381196427203,3.38982330575702,0.20959259305714897,0.973665696734912,0.892706612905014,False,False,SRS055982.45009-T1-C
1006,23.2737029890023,25.8228544659901,24.1632134800714,21.654559114812102,22.675230449114103,25.2455084241518,22.185748670012803,26.8834126966745,22.851621908621603,24.5523023499984,24.6095836108437,25.6185799442055,24.680462706899,25.3155925690591,26.6420153931544,24.142383664117,23.2564301413098,1006,1006,-0.429770392268445,2.41058527639832,0.9904074420649391,0.941498085062585,0.16253220865968498,False,False,sp|B1AVD1|XPP2_MOUSE
1017,27.5897496694555,22.009315056170802,22.970648341584702,20.9196089659556,26.1830238063676,24.812586620483998,25.1545314379934,24.6133187114412,26.634210461272698,26.0294920985623,23.6917692859767,23.725977885044102,25.9920048141472,22.9711467251264,23.323085692721,20.8520676818876,26.0339018687931,1017,1017,-2.29383787562531,1.3627009285286698,-0.465568473548323,0.967814970265811,0.603272743794384,False,False,WP_087346767.1
1019,23.244873201754398,23.8341739659906,24.616826723452803,21.1622733024108,23.317933121584602,24.663047218087396,24.403330001472302,24.674307963835002,22.177650683164398,21.9608475791198,22.405490005005102,24.5945259888948,23.4945654555093,26.5842942076932,23.555965578017897,21.972085464735,23.9170351177568,1019,1019,-1.36616719865458,1.3552770630037099,-0.00544506782543408,0.9751742033070259,0.993464366570255,False,False,sp|Q9NQW7-3|XPP1_HUMAN
1029,23.4729829221457,23.428874736889895,24.5674400079815,26.2094870366502,22.067940117150002,24.288126460946497,22.1210152111874,24.7878884147218,21.0864867827528,23.5101419143825,22.6755756974321,22.1591876700592,23.196232600381,21.7297418790762,22.115343435173802,24.3006197036175,21.936773429698,1029,1029,-2.17025111712867,0.45832371282245504,-0.855963702153108,0.94548300947264,0.19093593028001302,False,False,SRS024331.37941-T1-C
1034,23.674499619975098,24.147517742937,25.4958417636766,24.0492721717375,24.673139587814898,26.66390196407,24.652571319875197,21.4895883030705,24.316107690112,26.0757688902778,23.752917963452,25.5653535221006,22.049406212359198,21.4318413672037,23.310530964348803,22.6340173389726,24.094090656221,1034,1034,-2.17811956571083,0.703836813718347,-0.737141375996242,0.955458005069395,0.30081858011849394,False,False,sp|Q9Z1N0|ACOX1_CAVPO
1037,21.6006706433641,21.9646451062462,22.5688994300667,22.5825589338941,21.692901931719,23.565594986559898,20.834599895968303,26.1902551957022,22.7307437610398,22.882879398292303,21.4031415641354,18.339358549891397,22.083823715640897,21.631255670236698,23.820394213844498,21.7836840961639,23.5936188512566,1037,1037,-2.2207212050276097,0.831733578879605,-0.694493813074004,0.958745674823132,0.3561957434250089,False,False,sp|O08677|KNG1_MOUSE
1045,20.707636331607198,21.5576151461132,24.1085131308038,22.0915231966371,22.4538272459942,23.820296624189602,22.6261383543398,25.241641832119498,22.310242209231,22.0098176851686,20.9319969861346,20.845450999885603,22.1708978658424,23.5613551941635,21.4507390591841,19.1466929652149,21.929951123187298,1045,1045,-2.5907589671247004,0.0652768654787392,-1.26274105082298,0.9109425809332041,0.0613561142870975,False,False,sp|P29844|HSP7C_DROME
105,25.8048163142974,26.3411199242313,26.4759311858665,26.5226171180132,24.765568221891797,27.100377825960397,25.6083050819029,28.348501186806303,26.324357641926497,27.9866322518093,26.6223955901479,29.650219359703303,29.2127193073485,27.3944619259269,27.5150180018651,27.4002895271424,26.8636249321487,105,105,0.33288341816330397,2.59699136121611,1.4649373896897098,0.831130380301712,0.0134812787293952,False,False,sp|Q63041|A1M_RAT
