name,control_1,control_2,control_3,control_4,control_5,control_6,control_7,treatment_1,treatment_2,treatment_3,treatment_4,treatment_5,treatment_6,treatment_7,ClusterID,ID,treatment_vs_control_CI.L,treatment_vs_control_CI.R,treatment_vs_control_diff,treatment_vs_control_p.adj,treatment_vs_control_p.val,significant,treatment_vs_control_significant,cluster_representative
1,23.109074058480395,21.3311946898711,21.927068645707003,21.7108076946313,22.959552391941102,21.8215388897085,22.435441871754197,21.116397903904396,22.123238281205396,20.829878322991103,21.3402701059454,21.798091249970998,22.482246411473103,22.3610551872721,1,1,-1.4722578142351397,0.5455433058548421,-0.46335725419015006,0.952656792599175,0.349882146378081,False,False,sp|Q8R0W0|EPIPL_MOUSE
1065,24.473176083229298,24.2829605048978,23.9597622360297,25.131284410269604,26.3986095484067,25.601447996863197,25.187073834491702,27.5096541122084,26.8408030699777,27.6983464546699,27.2908553214174,24.4191037322877,25.7248982624095,26.844128262963398,1065,1065,0.405553847282327,2.82115318178796,1.6133535145351399,0.8451754933549541,0.01134238775518,False,False,WP_083651125.1
1077,20.6071587089566,23.4029296890407,21.9464372846626,22.4337402774148,19.8965763135208,22.1562886522042,23.85487323294,23.9450394048776,22.405709164070398,25.4397572492595,21.7907617148895,17.893218565925103,20.6479230015912,22.8306355101056,1077,1077,-1.79408766776442,1.9812420826156203,0.0935772074256001,0.9679282727958359,0.918755507945931,False,False,sp|P55281|CAD17_RAT
1079,23.995636485310804,23.509167670646402,21.3444172834023,23.9223611854581,22.9464967198875,24.129196217146898,22.1811410318802,24.9999271635088,23.5502710919278,24.9563092834442,26.5783233934745,21.1504414716207,21.6988237640827,23.710333296293896,1079,1079,-0.9043270057203759,2.22318782589758,0.659430410088603,0.95452624120271,0.3899026971208429,False,False,sp|Q00839|HNRPU_HUMAN
1090,24.373426219326703,22.712651468692698,21.982194940882696,24.6313181812779,24.299360289796,24.127967723207,23.521045765575103,26.182650482397104,24.836511992515398,26.074161515981697,25.110984949579898,23.9191094613057,24.405484226960898,27.0799934016752,1090,1090,0.4788102378427321,2.93859874548806,1.7087044916654,0.831556170217168,0.00884210750950315,False,False,sp|Q9DBX3|SUSD2_MOUSE
1093,25.1147565889184,24.747842378373498,23.1869173205187,22.0809271248286,22.2285339508529,23.551369963594897,22.9491896173203,25.413180934875,25.088034560151,23.6071538540504,22.906208374067198,22.6905029739985,21.6484466767728,24.3006415560679,1093,1093,-1.11234288949544,1.62509488537415,0.256375997939355,0.963883155501025,0.7004236100578921,False,False,SRS013476.255562-T1-C
1103,24.0138641938239,23.2866481404105,24.4046883237256,26.303273401593103,26.309884097574702,25.9412190707269,25.4304009938351,27.918610357976103,27.9197401731852,28.668323462782197,28.1502705252036,22.4150737871618,26.6146536854219,26.2629079607977,1103,1103,0.0501691552724257,3.45257419639583,1.7513716758341298,0.9024843292629979,0.0441824229108761,False,False,sp|Q9SCN8|CD48D_ARATH
1104,29.1737671850981,29.9431958613275,29.3530157088029,29.632046755930098,28.709125275184,29.737480433935104,29.7557443439086,27.358038507641,27.0498325063005,26.859210135473102,27.6038482624651,28.441810369280898,28.1227262836133,28.901843655272604,1104,1104,-2.6988854163960405,-0.7202762533582109,-1.7095808348771298,0.7112927205561751,0.00174281726419966,False,False,WP_033164095.1
1105,22.7621916202606,23.4803423999882,23.3207221990423,24.4712384072929,25.5511351735734,24.7497120752646,24.344078327635103,26.2868220789965,26.0734842078749,26.6479846025487,25.3445589993893,22.9347422511388,25.254770866689896,24.145287093106603,1105,1105,-0.146652551196787,2.4347182359646697,1.1440328423839399,0.9201719825774131,0.0793636496933943,False,False,XP_018254848.1
1107,15.4959174690539,21.8936440810774,22.408655229367,25.1683233746602,24.773596467368197,22.6783635152195,21.924166258994003,26.146092703410396,26.129585949776,27.1737481599652,26.220642081434196,23.498310186625098,23.960251753570798,24.679460823896697,1107,1107,1.10175676938587,5.60265044859645,3.3522036089911604,0.802437852044322,0.0055091893122097,False,False,WP_094376231.1
