"ClusterID","control_1","control_2","control_3","control_4","control_5","control_6","control_7","control_8","control_9","treatment_1","treatment_2","treatment_3","treatment_4","treatment_5","treatment_6","treatment_7","treatment_8","ClusterID2","ID","treatment_C.I.","control_C.I.","Log2foldchange","p.adj","p.val","significant","treatment_vs_control_significant","cluster_representative"
0,22.0341554879062,23.5561783541921,23.4198762338123,23.4259900682608,22.2798225211646,26.3184272887621,22.5023117542856,22.6037241303885,23.3771182350804,24.9903459003305,26.8075472595465,24.4177938746504,25.3376933514389,25.369815537414,25.3712888029736,25.1853752187291,25.6587436385449,0,0,0.981074499189558,3.24410882475018,2.11259166196987,0.66963979489934,0.000776946119514953,"False","False","sp|Q6PZE0|MUC19_MOUSE"
1030,27.5321790312751,27.876465318645,27.1559448227445,22.178906431532,26.460942976357,27.7865943379776,24.0997442046418,27.7465359951943,24.1405435047473,27.5563000810379,26.4507225748109,22.8334661194512,26.2800255067993,23.4266724639524,23.2657410792543,20.3894181270688,26.105909807024,1030,1030,-3.53632589101923,0.396088359065659,-1.57011876597678,0.955701768437265,0.112247240756448,"False","False","sp|P58252|EF2_MOUSE"
1041,22.6111130749286,25.255008429412,24.9308328778103,23.1981551423758,22.664363730138,24.8005869346745,21.6626053612259,22.8678064082389,22.3764195389114,18.5155073552425,19.9249386017195,22.9658878337638,19.1804118274933,20.0154667785234,18.6378206122923,18.3022105065488,20.1880140716098,1041,1041,-5.01198434218657,-2.30364937161853,-3.65781685690255,0.120624956552005,1.03680938282333e-05,"True","True","sp|P07900-2|HS90A_HUMAN"
1043,23.4720466103525,22.9329950499367,22.0677133527895,23.8056310194479,22.2894980180368,25.0890166868673,19.7920467467873,23.5907819914587,21.5542646974918,21.9750194699123,21.7699830818727,23.6189743206976,21.4414366630685,18.6555516859079,20.2718630675323,21.295984117513,22.5353190475005,1043,1043,-2.71957152676881,0.145272351788076,-1.28714958749037,0.947947149759741,0.0759366129878153,"False","False","sp|O95834-3|EMAL2_HUMAN"
1054,24.1945641270653,23.9881240931821,24.9070409235441,24.9133733754786,23.5276928323374,25.9484997537968,23.4993475112115,24.3599133308641,25.6794657636316,23.9592323054495,27.5706042446233,27.4783108824396,23.1784375156579,23.9165354499162,25.9355373469881,24.9274035436439,24.8027523591701,1054,1054,-0.623519910394218,1.95060738656383,0.663543738084808,0.970591177404824,0.297584148462757,"False","False","sp|Q8CI94|PYGB_MOUSE"
1059,25.3312934218388,24.9081864874361,25.7585072306138,24.8647431841251,22.8413888986383,24.8969469956426,21.6835159642891,25.219874155433,22.419350733439,24.394438423642,21.6263992974454,22.9578580189942,25.2980245195733,21.5878603624288,23.2273549123894,23.2660245769815,24.5628915099606,1059,1059,-2.21906119794698,0.521761420755039,-0.848649888595968,0.966103624584517,0.213189705678897,"False","False","sp|Q61316|HSP74_MOUSE"
1061,24.5711370520445,24.3871496816141,22.6204198657039,26.1714274045756,23.292969892999,25.3625198309118,25.4444075230669,22.569245813651,25.675065495495,21.9423179787048,23.8849691303264,21.8613656255919,24.2964732734494,26.0928326147604,24.7975599126064,25.1168789356995,24.6650320841949,1061,1061,-1.74246560281941,0.996969089416869,-0.372748256701271,0.978136165557143,0.579234763276443,"False","False","SRS015854.21080-T1-C"
1075,27.8710246468598,26.2658129244503,28.5024647712964,25.8227644322482,24.0654722620449,29.0566293591545,26.1473499484688,27.9849709955447,26.616186285965,27.3591938483033,26.3429538149462,25.2664594060077,27.0660284151293,25.7089006157667,24.4073836318263,23.2521024916475,27.6337942091123,1075,1075,-2.50479810326404,0.412296516774919,-1.04625079324456,0.960895810812186,0.151582732172604,"False","False","sp|Q29261|VILI_PIG"
1076,26.4276570141773,26.4275253885428,26.1025934067739,23.474557935816,25.1527301173694,27.3145872805602,24.1280439740799,25.7312428872379,22.4457236606934,24.8080731884678,24.680289549926,22.4616380626784,21.0203621495798,22.7105544353542,19.6842229757849,19.1287646565712,24.8354851597985,1076,1076,-4.57331783632716,-1.08425943363283,-2.82878863497999,0.795982211570006,0.00271633380780201,"False","False","sp|P17858-2|PFKAL_HUMAN"
1077,29.814835715203,29.8463682291202,29.0261404062646,30.1472986066439,29.694568077263,29.5411798387011,29.4109510109171,27.684507110654,30.1887985084186,29.5790868070207,29.6437296531498,29.9745350533234,29.5838893760458,29.9845197256944,29.99166162437,31.0593773128439,30.1869233638444,1077,1077,-0.408494606137644,1.44172589005836,0.516615641960357,0.968848104480242,0.260153542967089,"False","False","sp|P55281|CAD17_RAT"
1078,26.5884194206118,24.3024689388127,26.8108836671537,25.7995691061761,22.0456087018554,27.251501579998,24.5128936018712,26.377351527548,24.7067881881305,23.2861739058562,23.0158305106209,25.9013016987838,25.3186175546318,23.3647348816349,24.4113613770674,24.442785342214,25.6503985774361,1078,1078,-2.33034554852337,0.423594347883065,-0.95337560032015,0.962322387487759,0.165705377468551,"False","False","sp|Q7KN62-3|TERA_DROME"
108,26.9456836684007,25.3863735957186,26.3542935265492,22.2378868123014,22.5191587087392,27.0626456878295,22.6982989839985,25.9148522277102,23.2578520716933,25.2162096582915,24.9625023946833,24.4874987492198,24.2095702719093,27.0619362808666,25.0446101133983,25.934145399661,24.8832717508839,108,108,-0.970424936567903,2.00323991730952,0.51640749037081,0.976170150883971,0.480044159023992,"False","False","sp|P29742|CLH_DROME"
1080,22.9821597685511,22.5190867034527,23.3585984875748,25.2645527365086,26.0639169603383,22.4316307328619,23.1280974023729,23.0971953167305,24.9685978941329,21.2512182933292,23.051216576211,23.1042938474982,19.1970990814816,23.1204301142506,21.9107569002755,22.3524209287175,23.0964980159418,1080,1080,-2.94410145334125,-0.299100885571015,-1.62160116945613,0.906700609422769,0.018398354300794,"False","False","sp|P05556-3|ITB1_HUMAN"
1087,21.8464698099232,22.8972014207674,21.40970945331,21.5420300521405,21.5709711596736,24.5870666637692,21.1204771015992,22.1451503963168,21.0531397153899,21.6691471786263,21.7232030476295,19.8130750120506,26.988890520425,22.5929866394856,26.6981876874364,26.2161193839264,22.7700137414106,1087,1087,-0.251717523019015,3.33135315401325,1.53981781549712,0.951175897186533,0.0886979985875173,"False","False","sp|Q75WE7|VWA5A_RAT"
109,25.3310045887367,24.8415013881476,25.7211836941054,24.9961270884021,24.2920603930139,26.4939578203688,25.366492243994,28.4562044746779,26.5683667958081,27.9104743752728,27.0323990395147,28.2173087137922,27.2346233497002,28.2214197496791,27.7360219048582,27.5098269879186,26.2936277891242,109,109,0.61851199608285,2.84999159532556,1.73425179570421,0.821807104471262,0.00380066058614246,"False","False","sp|P12387|CO3_CAVPO"
1090,25.6972531996726,26.6483131285779,25.8341798262744,26.5109273835408,26.0984503644675,26.3120545355692,26.389152421105,24.1521508963629,26.6822655345194,25.04725831891,25.5399379890472,23.0427848821316,25.6519926923352,23.4068118546059,25.521491355077,27.0141112902633,26.5221795554284,1090,1090,-1.98795492966756,0.352430849652801,-0.817762040007377,0.96196040035577,0.161954551914926,"False","False","sp|Q9DBX3|SUSD2_MOUSE"
