"ClusterID","control_1","control_2","control_3","control_4","control_5","control_6","control_7","control_8","control_9","treatment_1","treatment_2","treatment_3","treatment_4","treatment_5","treatment_6","treatment_7","treatment_8","ClusterID2","ID","treatment_C.I.","control_C.I.","Log2foldchange","p.adj","p.val","significant","treatment_vs_control_significant","cluster_representative"
10010,26.4754565780374,25.7314187888441,26.4736648176516,25.5757103555928,26.9667956283609,26.0382142297646,25.0324322934497,26.7700418538187,25.7404808384553,25.4460123536573,26.3666368602362,26.4699251430841,26.4407298247449,26.1705998372732,26.2464740350146,26.2176560165522,26.212766629349,10010,10010,-0.502586397661206,0.716572042866803,0.106992822602798,1,0.716761943386966,"False","False","sp|P24270|CATA_MOUSE"
10011,21.6059740792307,22.1211170529644,22.2954766486894,22.3785531101644,21.1659521641109,22.3856478408293,22.4591999550424,21.8152503763061,22.8542189494851,22.4787587590981,24.9769364414503,22.9789464170513,23.4281522249524,24.6900685950118,24.5702274194926,24.1961482354893,23.1494187357642,10011,10011,0.909614449212165,2.4672408296825,1.68842763944733,1,0.000241669139236481,"False","False","sp|Q6P9R2|OXSR1_MOUSE"
10110,27.3424588234409,28.4177176500462,30.0104928172493,26.1032669552085,28.5802736938058,27.4656630660377,28.3242934272144,26.0961769931322,27.7812179052963,29.1823048415022,27.4860853688636,26.729723626429,27.5432652625137,27.1036842821316,26.5334753842784,27.8068839751277,30.0156371697407,10110,10110,-1.18917131579729,1.20686710868148,0.0088478964420915,1,0.987797939105221,"False","False","sp|Q6NSR8|PEPL1_MOUSE"
10133,23.9349192118713,24.22142184252,24.2430769888086,24.5555905991481,23.8489990834804,22.8060466712678,24.2158466758839,26.8045394248607,23.8797551431519,22.5294100594401,23.22974341308,22.9161378694583,26.1121158261576,24.6992261745646,25.3353774394312,24.4436557314543,21.8588654501608,10133,10133,-1.6325911782297,0.855902915612502,-0.3883441313086,1,0.520505828664814,"False","False","sp|P51906|EAA3_MOUSE"
10140,23.8649697357335,24.0421134745744,23.7441370280662,26.3284933450169,25.1323325132724,24.2691293193734,24.7093658874782,23.5622516257185,25.4801268006884,24.0387721674911,26.7212190857907,23.6638658842789,27.4672790686968,26.8763876800773,26.0672677193382,26.7018189812642,23.6002018291999,10140,10140,-0.180530069434907,2.32408434459766,1.07177713758137,1,0.0890043586350587,"False","False","sp|Q99KP6-2|PRP19_MOUSE"
10178,24.2693876098172,23.6865942429959,24.5359088308899,23.3859329483079,23.5180693647985,24.8471812011486,25.8691044684134,27.1997241492925,27.0175120469749,24.4277252437965,27.5237216368498,24.1702719060657,27.3216800401844,27.5835574637629,26.6039581546461,27.3167725194915,24.9366311551485,10178,10178,-0.0992484676447147,2.71934691704465,1.31004922469997,1,0.0665681106134461,"False","False","sp|Q91YN5|UAP1_MOUSE"
102,24.0375234947488,24.694999903694,25.4650881875185,23.4611570421045,24.9447106761069,25.3524921878144,25.0957821119198,24.9483777928126,25.3287635959692,24.7420960935524,26.7719858905189,24.6828246230095,30.6784749244198,29.6638275629298,29.1058642880638,30.7184252356145,25.2482324517129,102,102,1.11787769019018,4.65641174555661,2.8871447178734,1,0.00297925648817108,"False","False","sp|Q8BW94|DYH3_MOUSE"
10212,30.1605536759147,30.6780582393132,22.0968888417984,30.2611446247128,29.5621281303977,23.6640071045807,30.2254081251574,31.8277275752432,29.6408608715772,30.6332947840723,28.2655314685984,30.9121268548587,24.6907899302515,25.3107084950903,24.2983460088097,24.2799966825959,29.9725894473032,10212,10212,-4.36219835106902,1.59376044925395,-1.38421895090753,1,0.341941848085625,"False","False","sp|Q8JZK9|HMCS1_MOUSE"
10217,22.0234562377425,23.5794865127033,22.1677629743994,21.815715150183,22.5210672183777,24.7634659209772,25.0201915921144,20.9108878916787,25.6177416376068,21.4843169648605,21.8300718168751,24.2097875496379,22.1437297871967,21.2994618184313,22.6716211833064,22.5974274574987,24.8030644115133,10217,10217,-1.9549333181974,0.899297979797834,-0.527817669199781,1,0.447452507999842,"False","False","sp|Q571E4|GALNS_MOUSE"
10226,25.0955764621667,27.0081056138496,26.0908569799103,26.7684740848652,24.7802246068636,25.2041727517762,25.9524371539785,24.9772410931166,25.8148650848814,26.2116449716508,26.766706890778,25.0915275143777,23.9230585793891,26.5759167928902,23.3858217288705,24.2861948499228,24.5157888530061,10226,10226,-1.69632361189738,0.398387805694658,-0.648967903101362,1,0.209552220026893,"False","False","sp|Q9D0K2|SCOT1_MOUSE"
10245,26.4765085436865,26.831503288438,26.9406235828307,26.3069802374937,26.9059390343585,26.5103386613536,27.1440625713031,26.1762653300525,26.7144979071539,27.4665441842165,26.8912362325255,26.6597715194698,27.0131745547294,27.0693666269061,27.2562149614509,27.2485724399882,25.8555879545175,10245,10245,-0.278784191619998,0.809074830810793,0.265145319595398,1,0.319544931361119,"False","False","sp|Q9CZS1|AL1B1_MOUSE"
10260,26.689947879874,26.7933384995195,26.9360136571516,26.4282224442207,27.1898294120809,27.1750616625956,27.0709547390326,27.1863891021587,27.4627642611463,27.9219171662819,27.0471533432796,27.2227318260245,26.4585939607072,27.3811845144134,26.8556963843392,26.2949065141273,27.0172317676667,10260,10260,-0.51530026937911,0.580149325749047,0.0324245281849684,1,0.902454200231659,"False","False","sp|P47738|ALDH2_MOUSE"
10261,29.7454429139555,29.8095782289704,29.5533781311564,29.9000297263863,30.1574918657842,30.1271414850183,30.3837934282254,28.5741934815082,29.9346351051814,29.6464161336763,29.7796148187749,29.9726680383666,29.8853170991992,30.0434456568783,30.4377307795487,30.4055512898031,30.0791817751636,10261,10261,-0.318575936937017,0.784238586748345,0.232831324905664,1,0.386931312434683,"False","False","sp|Q9CPY7|AMPL_MOUSE"
10272,24.1100485841941,24.3596335561092,25.1100921662271,26.5652661043852,24.0339485478002,23.8077235074974,24.6499514589592,24.4175583241574,23.7880080423781,24.7149605262143,24.8393283672507,25.3696947161118,24.541145547162,25.3780297400027,24.7654678637947,22.7560942900249,22.3591709878762,10272,10272,-1.20722866732861,0.812150501002878,-0.197539083162866,1,0.686062220772554,"False","False","sp|Q62148|AL1A2_MOUSE"
